000A   //  0.000153 
FFB7   // -0.001114 
0070   //  0.001709 
FF43   // -0.002884 
0031   //  0.000748 
FFE4   // -0.000427 
0221   //  0.008316 
FDDF   // -0.008316 
001C   //  0.000427 
FFCF   // -0.000748 
00BD   //  0.002884 
FF90   // -0.001709 
0049   //  0.001114 
FFF6   // -0.000153 
FF12   // -0.003632 
0000   //  0.000000 
0000   //  0.000000 
FF9A   // -0.001556 
0066   //  0.001556 
FEB9   // -0.004990 
0029   //  0.000626 
FFD7   // -0.000626 
0147   //  0.004990 
0EAB   //  0.057297 
0014   //  0.000305 
FFBC   // -0.001038 
00A9   //  0.002579 
FF57   // -0.002579 
0044   //  0.001038 
FFEC   // -0.000305 
F155   // -0.057297 
0116   //  0.004242 
000A   //  0.000153 
FFAC   // -0.001282 
007E   //  0.001923 
FF23   // -0.003372 
0034   //  0.000793 
FFE2   // -0.000458 
027E   //  0.009735 
FD82   // -0.009735 
001E   //  0.000458 
FFCC   // -0.000793 
00DD   //  0.003372 
FF82   // -0.001923 
0054   //  0.001282 
FFF6   // -0.000153 
FEEA   // -0.004242 
0000   //  0.000000 
0000   //  0.000000 
FFC5   // -0.000900 
003B   //  0.000900 
FF4C   // -0.002747 
0016   //  0.000336 
FFEA   // -0.000336 
00B4   //  0.002747 
082C   //  0.031921 
000B   //  0.000168 
FFDA   // -0.000580 
005A   //  0.001373 
FFA6   // -0.001373 
0026   //  0.000580 
FFF5   // -0.000168 
F7D4   // -0.031921 
009A   //  0.002350 
0004   //  0.000061 
FFD1   // -0.000717 
0049   //  0.001114 
FF85   // -0.001877 
001E   //  0.000458 
FFF2   // -0.000214 
0162   //  0.005402 
FE9E   // -0.005402 
000E   //  0.000214 
FFE2   // -0.000458 
007B   //  0.001877 
FFB7   // -0.001114 
002F   //  0.000717 
FFFC   // -0.000061 
FF66   // -0.002350 
0000   //  0.000000 
0000   //  0.000000 
0019   //  0.000381 
FFE7   // -0.000381 
0045   //  0.001053 
FFF7   // -0.000137 
0009   //  0.000137 
FFBB   // -0.001053 
FCE4   // -0.012146 
FFFB   // -0.000076 
000F   //  0.000229 
FFDD   // -0.000534 
0023   //  0.000534 
FFF1   // -0.000229 
0005   //  0.000076 
031C   //  0.012146 
FFC5   // -0.000900 
FFFC   // -0.000061 
0011   //  0.000259 
FFE2   // -0.000458 
002D   //  0.000687 
FFF7   // -0.000137 
0007   //  0.000107 
FF79   // -0.002060 
0087   //  0.002060 
FFF9   // -0.000107 
0009   //  0.000137 
FFD3   // -0.000687 
001E   //  0.000458 
FFEF   // -0.000259 
0004   //  0.000061 
003B   //  0.000900 
0000   //  0.000000 
0000   //  0.000000 
0056   //  0.001312 
FFAA   // -0.001312 
0116   //  0.004242 
FFDC   // -0.000549 
0024   //  0.000549 
FEEA   // -0.004242 
F36F   // -0.049088 
FFEF   // -0.000259 
0039   //  0.000870 
FF71   // -0.002182 
008F   //  0.002182 
FFC7   // -0.000870 
0011   //  0.000259 
0C91   //  0.049088 
FF12   // -0.003632 
FFF6   // -0.000153 
0049   //  0.001114 
FF90   // -0.001709 
00BD   //  0.002884 
FFCF   // -0.000748 
001C   //  0.000427 
FDDF   // -0.008316 
0221   //  0.008316 
FFE4   // -0.000427 
0031   //  0.000748 
FF43   // -0.002884 
0070   //  0.001709 
FFB7   // -0.001114 
000A   //  0.000153 
00EE   //  0.003632 
0000   //  0.000000 
0000   //  0.000000 
0066   //  0.001556 
FF9A   // -0.001556 
0147   //  0.004990 
FFD7   // -0.000626 
0029   //  0.000626 
FEB9   // -0.004990 
F155   // -0.057297 
FFEC   // -0.000305 
0044   //  0.001038 
FF57   // -0.002579 
00A9   //  0.002579 
FFBC   // -0.001038 
0014   //  0.000305 
0EAB   //  0.057297 
FEEA   // -0.004242 
FFF6   // -0.000153 
0054   //  0.001282 
FF82   // -0.001923 
00DD   //  0.003372 
FFCC   // -0.000793 
001E   //  0.000458 
FD82   // -0.009735 
027E   //  0.009735 
FFE2   // -0.000458 
0034   //  0.000793 
FF23   // -0.003372 
007E   //  0.001923 
FFAC   // -0.001282 
000A   //  0.000153 
0116   //  0.004242 
0000   //  0.000000 
0000   //  0.000000 
003B   //  0.000900 
FFC5   // -0.000900 
00B4   //  0.002747 
FFEA   // -0.000336 
0016   //  0.000336 
FF4C   // -0.002747 
F7D4   // -0.031921 
FFF5   // -0.000168 
0026   //  0.000580 
FFA6   // -0.001373 
005A   //  0.001373 
FFDA   // -0.000580 
000B   //  0.000168 
082C   //  0.031921 
FF66   // -0.002350 
FFFC   // -0.000061 
002F   //  0.000717 
FFB7   // -0.001114 
007B   //  0.001877 
FFE2   // -0.000458 
000E   //  0.000214 
FE9E   // -0.005402 
0162   //  0.005402 
FFF2   // -0.000214 
001E   //  0.000458 
FF85   // -0.001877 
0049   //  0.001114 
FFD1   // -0.000717 
0004   //  0.000061 
009A   //  0.002350 
0000   //  0.000000 
0000   //  0.000000 
FFE7   // -0.000381 
0019   //  0.000381 
FFBB   // -0.001053 
0009   //  0.000137 
FFF7   // -0.000137 
0045   //  0.001053 
031C   //  0.012146 
0005   //  0.000076 
FFF1   // -0.000229 
0023   //  0.000534 
FFDD   // -0.000534 
000F   //  0.000229 
FFFB   // -0.000076 
FCE4   // -0.012146 
003B   //  0.000900 
0004   //  0.000061 
FFEF   // -0.000259 
001E   //  0.000458 
FFD3   // -0.000687 
0009   //  0.000137 
FFF9   // -0.000107 
0087   //  0.002060 
FF79   // -0.002060 
0007   //  0.000107 
FFF7   // -0.000137 
002D   //  0.000687 
FFE2   // -0.000458 
0011   //  0.000259 
FFFC   // -0.000061 
FFC5   // -0.000900 
0000   //  0.000000 
0000   //  0.000000 
FFAA   // -0.001312 
0056   //  0.001312 
FEEA   // -0.004242 
0024   //  0.000549 
FFDC   // -0.000549 
0116   //  0.004242 
0C91   //  0.049088 
0011   //  0.000259 
FFC7   // -0.000870 
008F   //  0.002182 
FF71   // -0.002182 
0039   //  0.000870 
FFEF   // -0.000259 
F36F   // -0.049088 
00EE   //  0.003632 
000A   //  0.000153 
FFB7   // -0.001114 
0070   //  0.001709 
FF43   // -0.002884 
0031   //  0.000748 
FFE4   // -0.000427 
0221   //  0.008316 
FDDF   // -0.008316 
001C   //  0.000427 
FFCF   // -0.000748 
00BD   //  0.002884 
FF90   // -0.001709 
0049   //  0.001114 
FFF6   // -0.000153 
FF12   // -0.003632 
0000   //  0.000000 
0000   //  0.000000 
FF9A   // -0.001556 
0066   //  0.001556 
FEB9   // -0.004990 
0029   //  0.000626 
FFD7   // -0.000626 
0147   //  0.004990 
0EAB   //  0.057297 
0014   //  0.000305 
FFBC   // -0.001038 
00A9   //  0.002579 
FF57   // -0.002579 
0044   //  0.001038 
FFEC   // -0.000305 
F155   // -0.057297 
0116   //  0.004242 
000A   //  0.000153 
FFAC   // -0.001282 
007E   //  0.001923 
FF23   // -0.003372 
0034   //  0.000793 
FFE2   // -0.000458 
027E   //  0.009735 
FD82   // -0.009735 
001E   //  0.000458 
FFCC   // -0.000793 
00DD   //  0.003372 
FF82   // -0.001923 
0054   //  0.001282 
FFF6   // -0.000153 
FEEA   // -0.004242 
0000   //  0.000000 
0000   //  0.000000 
FFC5   // -0.000900 
003B   //  0.000900 
FF4C   // -0.002747 
0016   //  0.000336 
FFEA   // -0.000336 
00B4   //  0.002747 
082C   //  0.031921 
000B   //  0.000168 
FFDA   // -0.000580 
005A   //  0.001373 
FFA6   // -0.001373 
0026   //  0.000580 
FFF5   // -0.000168 
F7D4   // -0.031921 
009A   //  0.002350 
0004   //  0.000061 
FFD1   // -0.000717 
0049   //  0.001114 
FF85   // -0.001877 
001E   //  0.000458 
FFF2   // -0.000214 
0162   //  0.005402 
FE9E   // -0.005402 
000E   //  0.000214 
FFE2   // -0.000458 
007B   //  0.001877 
FFB7   // -0.001114 
002F   //  0.000717 
FFFC   // -0.000061 
FF66   // -0.002350 
0000   //  0.000000 
0000   //  0.000000 
0019   //  0.000381 
FFE7   // -0.000381 
0045   //  0.001053 
FFF7   // -0.000137 
0009   //  0.000137 
FFBB   // -0.001053 
FCE4   // -0.012146 
FFFB   // -0.000076 
000F   //  0.000229 
FFDD   // -0.000534 
0023   //  0.000534 
FFF1   // -0.000229 
0005   //  0.000076 
031C   //  0.012146 
FFC5   // -0.000900 
FFFC   // -0.000061 
0011   //  0.000259 
FFE2   // -0.000458 
002D   //  0.000687 
FFF7   // -0.000137 
0007   //  0.000107 
FF79   // -0.002060 
0087   //  0.002060 
FFF9   // -0.000107 
0009   //  0.000137 
FFD3   // -0.000687 
001E   //  0.000458 
FFEF   // -0.000259 
0004   //  0.000061 
003B   //  0.000900 
0000   //  0.000000 
0000   //  0.000000 
0056   //  0.001312 
FFAA   // -0.001312 
0116   //  0.004242 
FFDC   // -0.000549 
0024   //  0.000549 
FEEA   // -0.004242 
F36F   // -0.049088 
FFEF   // -0.000259 
0039   //  0.000870 
FF71   // -0.002182 
008F   //  0.002182 
FFC7   // -0.000870 
0011   //  0.000259 
0C91   //  0.049088 
FF12   // -0.003632 
FFF6   // -0.000153 
0049   //  0.001114 
FF90   // -0.001709 
00BD   //  0.002884 
FFCF   // -0.000748 
001C   //  0.000427 
FDDF   // -0.008316 
0221   //  0.008316 
FFE4   // -0.000427 
0031   //  0.000748 
FF43   // -0.002884 
0070   //  0.001709 
FFB7   // -0.001114 
000A   //  0.000153 
00EE   //  0.003632 
0000   //  0.000000 
0000   //  0.000000 
001B   //  0.000412 
FFE5   // -0.000412 
0073   //  0.001755 
FFF5   // -0.000168 
000B   //  0.000168 
FF8D   // -0.001755 
F857   // -0.029922 
FFFB   // -0.000076 
0012   //  0.000275 
FFD5   // -0.000656 
002B   //  0.000656 
FFEE   // -0.000275 
0005   //  0.000076 
07A9   //  0.029922 
0008   //  0.000122 
FFFD   // -0.000046 
0013   //  0.000290 
FFE0   // -0.000488 
0036   //  0.000824 
FFF2   // -0.000214 
0008   //  0.000122 
0001   //  0.000015 
FFFF   // -0.000015 
FFF8   // -0.000122 
000E   //  0.000214 
FFCA   // -0.000824 
0020   //  0.000488 
FFED   // -0.000290 
0003   //  0.000046 
FFF8   // -0.000122 
